public_number,book_number,black,white,date,result,move_count,status,sgf_file,archive_url,gif_url
11,,Fujisawa Kuranosuke,Go Seigen,"1943-06-02,03",W+4,254,identified_by_30_move_prefix,sgf/011-1943-06-02.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1943-06-02.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80011.gif
12,,Fujisawa Kuranosuke,Go Seigen,"1943-09-07,08",W+R,206,identified_by_30_move_prefix,sgf/012-1943-09-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1943-09-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80012.gif
13,,Fujisawa Kuranosuke,Go Seigen,,W+R,216,identified_by_30_move_prefix,sgf/013-1944-02-19.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1944-02-19.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80013.gif
14,,Hashimoto Utaro,Go Seigen,1946-08-29,W+1,274,identified_by_30_move_prefix,sgf/014-1946-08-29.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1946-08-29.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80014.gif
15,,Hashimoto Utaro,Go Seigen,1946-09,W+8,269,identified_by_30_move_prefix,sgf/015-1946-09-00.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1946-09-00.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80015.gif
16,,Go Seigen,Hashimoto Utaro,1947-07,B+R,177,identified_by_30_move_prefix,sgf/016-1947-07-00c.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1947-07-00c.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80016.gif
17,,Hashimoto Utaro,Go Seigen,1947-10-03,W+R,194,identified_by_30_move_prefix,sgf/017-1947-10-03.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1947-10-03.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80017.gif
18,,Hashimoto Utaro,Go Seigen,,Jigo,230,identified_by_30_move_prefix,sgf/018-1947-12-02.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1947-12-02.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80018.gif
19,,Iwamoto Kaoru,Go Seigen,1948-07-07..09,W+1,328,identified_by_30_move_prefix,sgf/019-1948-07-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-07-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80019.gif
20,,Go Seigen,Iwamoto Kaoru,1948-07-20..22,B+R,189,identified_by_30_move_prefix,sgf/020-1948-07-20.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-07-20.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80020.gif
21,,Go Seigen,Iwamoto Kaoru,1948-09-27..29,B+R,251,identified_by_30_move_prefix,sgf/021-1948-09-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-09-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80021.gif
22,,Iwamoto Kaoru,Go Seigen,1948-10-19..21,W+8,265,identified_by_30_move_prefix,sgf/022-1948-10-19.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-10-19.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80022.gif
23,,Go Seigen,Iwamoto Kaoru,1948-11-16..18,B+12,290,identified_by_30_move_prefix,sgf/023-1948-11-16.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-11-16.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80023.gif
24,,Iwamoto Kaoru,Go Seigen,1948-12-21..23,Jigo,258,identified_by_30_move_prefix,sgf/024-1948-12-21.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1948-12-21.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80024.gif
25,,Iwamoto Kaoru,Go Seigen,1949-01-19..21,W+3,291,identified_by_30_move_prefix,sgf/025-1949-01-19.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-01-19.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80025.gif
26,,Go Seigen,Iwamoto Kaoru,"1949-01-26,27",B+R,227,identified_by_30_move_prefix,sgf/026-1949-01-26.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-01-26.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80026.gif
27,,Hasegawa Akira,Go Seigen,"1949-07-27,28",W+5,234,identified_by_30_move_prefix,sgf/027-1949-07-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-07-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80027.gif
28,,Kajiwara Takeo,Go Seigen,"1949-08-11,12",W+R,228,identified_by_30_move_prefix,sgf/028-1949-08-11.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-08-11.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80028.gif
29,,Go Seigen,Takagawa Shukaku,"1962-04-25,26",B+R,233,identified_by_30_move_prefix,sgf/029-1962-04-25.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1962-04-25.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80029.gif
30,,Hashimoto Utaro,Go Seigen,"1962-06-27,28",W+7,243,identified_by_30_move_prefix,sgf/030-1962-06-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1962-06-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80030.gif
31,,Hosokawa Senjin,Go Seigen,"1949-10-23,24",W+2,263,identified_by_30_move_prefix,sgf/031-1949-10-23.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-10-23.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80031.gif
32,,Hayashi Yutaro,Go Seigen,1949-11-29,W+1,259,identified_by_30_move_prefix,sgf/032-1949-11-29.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-11-29.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80032.gif
33,,Go Seigen,Maeda Nobuaki,"1949-12-15,16",B+R,183,identified_by_30_move_prefix,sgf/033-1949-12-15.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1949-12-15.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80033.gif
34,,Sumino Takeshi,Go Seigen,"1950-01-07,08",Jigo,233,identified_by_30_move_prefix,sgf/034-1950-01-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-01-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80034.gif
35,,Sakata Eio,Go Seigen,"1950-02-02,03",W+R,224,identified_by_30_move_prefix,sgf/035-1950-02-02.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-02-02.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80035.gif
36,,Kato Shin,Go Seigen,,W+4,227,identified_by_30_move_prefix,sgf/036-1950-05-01.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-05-01.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80036.gif
37,,Hayashi Yutaro,Go Seigen,,W+R,176,identified_by_30_move_prefix,sgf/037-1950-05-25.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-05-25.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80037.gif
